metric_id,display_metric,metric_owner,value_numeric,value_display,source_file,selector_column,selector_value,source_column,tolerance,portfolio_use
labeled_rows,Labeled application rows,Portfolio data,307511,"307,511",outputs/final/portfolio_baseline.csv,metric_id,labeled_rows,value_numeric,0,Repository and CV data volume
final_master_columns,Final master table columns,Portfolio data,271,271,outputs/final/portfolio_baseline.csv,metric_id,final_master_columns,value_numeric,0,Feature engineering scope
portfolio_default_rate,Portfolio default baseline,Portfolio data,0.08072881945686496,8.07%,outputs/final/portfolio_baseline.csv,metric_id,portfolio_default_rate,value_numeric,0.000001,Class imbalance baseline
fit_train_rows,Fit train rows,LightGBM v3 split,196805,"196,805",outputs/final/data_split_report.csv,split,fit_train,rows,0,Step 8 model-fit split
calibration_rows,Calibration rows,LightGBM v3 split,49202,"49,202",outputs/final/data_split_report.csv,split,calibration,rows,0,Step 8 Platt calibration split
validation_rows,Validation rows,LightGBM v3 split,61504,"61,504",outputs/final/data_split_report.csv,split,final_validation,rows,0,Step 8 final validation split
validation_default_rate,Validation default rate,LightGBM v3 split,0.093701,9.37%,outputs/final/data_split_report.csv,split,final_validation,default_rate,0.000001,Validation baseline for ML metrics
oof_weighted_ensemble_auc,Leak-free 5-fold OOF AUC,Weighted ensemble OOF,0.797816,0.7978,outputs/final/cross_validation_metrics.csv,model_name,Weighted ensemble leak-free 5Fold OOF,roc_auc,0.000001,Cross-validation stability
lightgbm_v3_validation_auc,LightGBM v3 validation ROC-AUC,LightGBM v3,0.790659,0.7907,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,roc_auc,0.000001,Champion single-model ranking performance
lightgbm_v3_validation_pr_auc,LightGBM v3 validation PR-AUC,LightGBM v3,0.312742,0.3127,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,pr_auc,0.000001,Class-imbalance model quality
lightgbm_v3_validation_ks,LightGBM v3 validation KS,LightGBM v3,0.437227,0.437,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,ks,0.000001,Ranking separation
lightgbm_v3_lift_at_10pct,LightGBM v3 Lift@10,LightGBM v3,3.65746,3.66x,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,lift_at_top_10pct,0.000001,High-risk review concentration
lightgbm_top30_default_capture,LightGBM v3 top 30 pct default capture,LightGBM v3,0.691133,69.1%,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,recall_at_top_30pct,0.000001,Operational review targeting
lightgbm_top30_lift,LightGBM v3 top 30 pct lift,LightGBM v3,2.303677,2.30x,outputs/final/champion_validation_metrics.csv,model_name,LightGBM v3,lift_at_top_30pct,0.000001,Review efficiency versus random
weighted_ensemble_validation_auc,Weighted ensemble validation ROC-AUC,Weighted ensemble Platt calibrated,0.7907,0.7907,outputs/final/model_comparison.csv,model_name,Weighted ensemble Platt calibrated,roc_auc,0.000001,Challenger benchmark comparison
weighted_ensemble_validation_pr_auc,Weighted ensemble validation PR-AUC,Weighted ensemble Platt calibrated,0.312825,0.3128,outputs/final/model_comparison.csv,model_name,Weighted ensemble Platt calibrated,pr_auc,0.000001,Challenger benchmark comparison
weighted_ensemble_lift_at_10pct,Weighted ensemble Lift@10,Weighted ensemble Platt calibrated,3.64358,3.64x,outputs/final/model_comparison.csv,model_name,Weighted ensemble Platt calibrated,lift_at_top_10pct,0.000001,Challenger benchmark comparison
weighted_ensemble_top30_default_capture,Weighted ensemble top 30 pct default capture,Weighted ensemble Platt calibrated,0.690265,69.0%,outputs/final/model_comparison.csv,model_name,Weighted ensemble Platt calibrated,recall_at_top_30pct,0.000001,Challenger operational targeting
weighted_ensemble_top30_lift,Weighted ensemble top 30 pct lift,Weighted ensemble Platt calibrated,2.300785,2.30x,outputs/final/model_comparison.csv,model_name,Weighted ensemble Platt calibrated,lift_at_top_30pct,0.000001,Challenger operational targeting
low_priority_review_default_rate,Low-priority review band default rate,ML review-priority bands,0.041778,4.18%,outputs/final/decision_bands.csv,decision,AUTO_APPROVE,default_rate,0.000001,Decision band outcome
manual_review_default_rate,Manual-review band default rate,ML review-priority bands,0.154025,15.40%,outputs/final/decision_bands.csv,decision,MANUAL_REVIEW,default_rate,0.000001,Decision band outcome
enhanced_review_default_rate,Enhanced-review band default rate,ML review-priority bands,0.341293,34.13%,outputs/final/decision_bands.csv,decision,STRICT_REVIEW_OR_REJECT,default_rate,0.000001,Decision band outcome
core_logit_auc,Core interpretable Logistic ROC-AUC,Diagnostic Logistic Regression,0.6772320456135935,0.6772,outputs/final/diagnostic_model_metrics.csv,model,D7_core_interpretable_logit_with_valid_ci_pvalue,roc_auc,0.000001,Diagnostic model quality
core_logit_lift_at_10pct,Core interpretable Logistic Lift@10,Diagnostic Logistic Regression,2.4656676354657554,2.47x,outputs/final/diagnostic_model_metrics.csv,model,D7_core_interpretable_logit_with_valid_ci_pvalue,lift_at_10pct,0.000001,Diagnostic model quality
core_logit_top10_default_rate,Core interpretable Logistic top 10 pct default rate,Diagnostic Logistic Regression,0.1990504373841501,19.91%,outputs/final/diagnostic_model_metrics.csv,model,D7_core_interpretable_logit_with_valid_ci_pvalue,top_10pct_default_rate,0.000001,Diagnostic model quality
cc_utilization_gt100_or,CC utilization over 100 pct odds ratio,Diagnostic Logistic Regression,3.500169943118824,3.50x,outputs/final/diagnostic_odds_ratios.csv,term,D7_CC_UTILIZATION_GROUP_>100%,odds_ratio,0.000001,Interpretable risk driver
debt_credit_gt100_or,Bureau debt-to-credit over 100 pct odds ratio,Diagnostic Logistic Regression,2.8602700325744697,2.86x,outputs/final/diagnostic_odds_ratios.csv,term,D7_BUREAU_DEBT_CREDIT_GROUP_>100%,odds_ratio,0.000001,Interpretable risk driver
cc_utilization_gt100_default_rate,CC utilization over 100 pct default rate,Dashboard rule-based segment,0.2549800796812749,25.50%,outputs/final/dashboard_rule_segments.csv,variable,DIAG_CC_UTILIZATION_GROUP,default_rate,0.000001,Dashboard behavior risk segment
cc_utilization_gt100_lift_vs_baseline,CC utilization over 100 pct lift vs baseline,Dashboard rule-based segment,3.1584765068627805,3.16x,outputs/final/dashboard_rule_segments.csv,variable,DIAG_CC_UTILIZATION_GROUP,risk_index,0.000001,Dashboard behavior risk segment
bureau_overdue_2plus_default_rate,Bureau overdue 2+ loans default rate,Dashboard rule-based segment,0.36796536796536794,36.80%,outputs/final/dashboard_rule_segments.csv,variable,DIAG_BUREAU_OVERDUE_GROUP,default_rate,0.000001,Credit-history risk segment
bureau_overdue_2plus_lift_vs_baseline,Bureau overdue 2+ loans lift vs baseline,Dashboard rule-based segment,4.558042226320172,4.56x,outputs/final/dashboard_rule_segments.csv,variable,DIAG_BUREAU_OVERDUE_GROUP,risk_index,0.000001,Credit-history risk segment
ext_source_mean_shap,Top SHAP signal EXT source mean,LightGBM v3 explainability,0.128992,0.129,outputs/final/shap_importance.csv,feature,V3_EXT_SOURCE_MEAN,mean_abs_shap,0.000001,Explainability
annuity_credit_ratio_shap,Top SHAP signal annuity-credit ratio,LightGBM v3 explainability,0.086301,0.086,outputs/final/shap_importance.csv,feature,V3_ANNUITY_CREDIT_RATIO,mean_abs_shap,0.000001,Explainability
