issue,affected_tables,recommended_action,why,alternative,pros_cons
DAYS_EMPLOYED equals 365243,application_train/test,Replace 365243 with NaN and add DAYS_EMPLOYED_ANOM indicator,365243 is inconsistent with negative day variables and likely represents a special code,Drop rows or keep raw,Indicator keeps anomaly signal; dropping rows loses many records; keeping raw distorts tenure analysis
Previous application date columns equal 365243,previous_application,"Replace 365243 with NaN in DAYS_FIRST_DRAWING, DAYS_FIRST_DUE, DAYS_LAST_DUE_1ST_VERSION, DAYS_LAST_DUE, DAYS_TERMINATION and add indicators if used",365243 appears as a special date value and should not be treated as real elapsed days,Keep raw date values,Replacing prevents distorted time features; indicators preserve the special-value signal; keeping raw corrupts averages and ranges
CODE_GENDER equals XNA,application_train,Treat as Unknown/NaN; exclude from gender-specific EDA if needed,Only a few records and not a standard gender category,Drop rows or map to mode,Unknown is transparent; mode hides data issue; dropping is acceptable only because count is tiny
High missing building/apartment variables,application_train/test,Do not drop automatically; analyze missingness signal and consider missing indicators,Missingness may reflect unavailable property information and can carry risk signal,Drop high-missing columns,Dropping simplifies model but may remove useful missingness signal
Property/building missingness is related to TARGET,application_train/test,Create property information missing indicators or a property_missing_count feature,"Several property variables show higher default rate when missing, so missingness itself can be informative",Drop property columns or only impute numeric values,Missing indicators preserve risk signal; dropping loses signal; blind imputation hides data availability differences
OWN_CAR_AGE missing,application_train/test,Interpret together with FLAG_OWN_CAR; missing likely means no car for many customers,Missing is not always data error; it can be not applicable,Median imputation,Business-aware handling avoids imputing car age for customers without cars
Monetary outliers,"application, bureau, previous, installments, credit card","Keep raw for analysis/modeling, use clipping/log scale for visualization",Extreme financial values can be real and risk-relevant,Winsorize or remove outliers,Keeping raw preserves signal; clipping improves chart readability; removal can bias analysis
Credit card credit limit equals zero,credit_card_balance,"When computing utilization, avoid direct division by zero and create zero_credit_limit_flag",Zero credit limit can create infinite/undefined utilization and may itself be an informative credit card state,Drop zero-limit rows or replace limit with a small constant,Flagging keeps the signal and avoids invalid ratios; dropping loses history; small constants create artificial extreme utilization
Historical tables have one-to-many records,"bureau, bureau_balance, previous_application, POS, installments, credit card",Do not drop repeated SK_ID_CURR; aggregate to SK_ID_CURR in Step 4,"Repeated records are valid history, not duplicate error",Raw merge,Aggregation preserves customer grain; raw merge duplicates customers and biases metrics
Missing after merging historical features,final analytical table,Use history indicator and fill count-like aggregates with 0 where business-valid,Missing may mean no history in that source,Generic mean/median imputation,Business-aware fill is interpretable; generic imputation can blur no-history customers
Imbalanced target,application_train,Use default rate in EDA and ROC-AUC/Recall/Precision/F1 in ML,TARGET=1 is minority class,Accuracy only,Accuracy can be misleading in imbalanced credit risk data
Rare categorical values,all categorical tables,Show sample size with default rate; group rare categories for visualization if needed,Rare categories can show unstable default rates,One-hot every category,Rare grouping improves stability; full one-hot preserves detail but can overfit
Potential time leakage,all historical tables,Use only information available at or before current application time,Future information creates unrealistic analysis/model performance,Use all historical columns blindly,Leakage guardrail keeps project defensible; blind usage risks inflated conclusions
