feature_order,feature,bien_gi,y_nghia_bien,source_group,feature_flow_stage,dtype,is_numeric,missing_pct,n_unique,original_table,original_description
1,SK_ID_CURR,Mã khách hàng/hồ sơ,ID duy nhất của khách hàng/hồ sơ trong dữ liệu Home Credit. Mô tả gốc: ID of loan in our sample,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,307511,application_{train|test}.csv,ID of loan in our sample
2,TARGET,Biến mục tiêu default,"1 = khách hàng gặp khó khăn thanh toán theo định nghĩa dữ liệu; 0 = các trường hợp còn lại. Mô tả gốc: Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",Raw application column from application_train.csv,00 Raw application,float64,True,0.0,2,application_{train|test}.csv,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)"
3,NAME_CONTRACT_TYPE,Loại hợp đồng vay,Cho biết khoản vay là cash loan hay revolving loan. Mô tả gốc: Identification if loan is cash or revolving,Raw application column from application_train.csv,00 Raw application,str,False,0.0,2,application_{train|test}.csv,Identification if loan is cash or revolving
4,CODE_GENDER,Giới tính khách hàng,Giới tính sau khi xử lý mã đặc biệt XNA thành missing/unknown. Mô tả gốc: Gender of the client,Raw application column from application_train.csv,00 Raw application,str,False,0.0013007664766463,2,application_{train|test}.csv,Gender of the client
5,FLAG_OWN_CAR,Cờ sở hữu xe,Y = khách hàng có xe; N = không có xe. Mô tả gốc: Flag if the client owns a car,Raw application column from application_train.csv,00 Raw application,str,False,0.0,2,application_{train|test}.csv,Flag if the client owns a car
6,FLAG_OWN_REALTY,Cờ sở hữu nhà/bất động sản,Y = khách hàng có nhà/căn hộ; N = không có. Mô tả gốc: Flag if client owns a house or flat,Raw application column from application_train.csv,00 Raw application,str,False,0.0,2,application_{train|test}.csv,Flag if client owns a house or flat
7,CNT_CHILDREN,Số con,Số lượng con của khách hàng. Mô tả gốc: Number of children the client has,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,15,application_{train|test}.csv,Number of children the client has
8,AMT_INCOME_TOTAL,Tổng thu nhập,Thu nhập khai báo của khách hàng. Mô tả gốc: Income of the client,Raw application column from application_train.csv,00 Raw application,float64,True,0.0,2548,application_{train|test}.csv,Income of the client
9,AMT_CREDIT,Số tiền vay,Tổng số tiền tín dụng/khoản vay được cấp. Mô tả gốc: Credit amount of the loan,Raw application column from application_train.csv,00 Raw application,float64,True,0.0,5603,application_{train|test}.csv,Credit amount of the loan
10,AMT_ANNUITY,Khoản trả góp định kỳ,Số tiền khách hàng phải trả mỗi kỳ. Mô tả gốc: Loan annuity,Raw application column from application_train.csv,00 Raw application,float64,True,0.003902299429939,13672,application_{train|test}.csv,Loan annuity
11,AMT_GOODS_PRICE,Giá hàng hóa/tài sản,Giá trị hàng hóa/tài sản liên quan đến khoản vay. Mô tả gốc: For consumer loans it is the price of the goods for which the loan is given,Raw application column from application_train.csv,00 Raw application,float64,True,0.0904032701269222,1002,application_{train|test}.csv,For consumer loans it is the price of the goods for which the loan is given
12,NAME_TYPE_SUITE,Người đi cùng khi nộp hồ sơ,Nhóm người đi cùng khách hàng khi đăng ký khoản vay. Mô tả gốc: Who was accompanying client when he was applying for the loan,Raw application column from application_train.csv,00 Raw application,str,False,0.4201475719567755,7,application_{train|test}.csv,Who was accompanying client when he was applying for the loan
